선수명,등번호,생년월일,포지션,신장/체중,경력,입단 계약금,연봉,지명순위,입단년도,Team,days,출신초등학교
정동윤,No.51,1997년 10월 22일,투수(우투좌타),193cm/103kg,덕성초(안산리틀)-중앙중-야탑고-SK-상무-SK,20000만원,3000만원,16 SK 1차,16SK,SSG 랜더스,10305,덕성초
정준재,No.3,2003년 01월 03일,내야수(우투좌타),165cm/68kg,상인천초-동인천중-강릉고-동국대(얼리 드래프트),6000만원,7500만원,24 SSG 5라운드 50순위,24SSG,SSG 랜더스,8406,상인천초
정현승,No.47,2001년 10월 24일,외야수(좌투좌타),180cm/80kg,현산초-부천중-덕수고-인하대,5000만원,3000만원,24 SSG 6라운드 60순위,24SSG,SSG 랜더스,8842,현산초
조병현,No.19,2002년 05월 08일,투수(우투우타),182cm/90kg,온양온천초-온양중-세광고-SK-SSG-상무,7000만원,13500만원,21 SK 2차 3라운드 28순위,21SK,SSG 랜더스,8646,온양온천초
조요한,No.98,2000년 01월 06일,투수(우투우타),191cm/102kg,광주화정초-충장중-광주제일고-동강대-SK-SSG-상무,4000만원,4000만원,21 SK 2차 7라운드 68순위,21SSG,SSG 랜더스,9499,광주화정초
조형우,No.20,2002년 04월 04일,포수(우투우타),187cm/95kg,송정동초-무등중-광주제일고-SK,13000만원,4000만원,21 SK 2차 1라운드 8순위,21SK,SSG 랜더스,8680,송정동초
채현우,No.15,1995년 11월 21일,외야수(우투우타),182cm/80kg,칠성초-경복중-대구상원고-송원대-SK,3000만원,3000만원,19 SK 2차 8라운드 76순위,19SK,SSG 랜더스,11006,칠성초
천범석,No.90,2006년 03월 06일,투수(우투우타),183cm/86kg,과천문원초(안양시리틀)-수원북중-강릉고,8000만원,3000만원,25 SSG 4라운드 38순위,25SSG,SSG 랜더스,7248,과천문원초
최민준,No.30,1999년 06월 11일,투수(우투우타),178cm/83kg,부산수영초-경남중-경남고-SK-상무-SK,10000만원,10000만원,18 SK 2차 2라운드 15순위,18SK,SSG 랜더스,9708,부산수영초
최민창,No.53,1996년 04월 16일,외야수(좌투좌타),179cm/76kg,강남초-선린중-신일고-LG,10000만원,3000만원,15 LG 2차 2라운드 17순위,15LG,SSG 랜더스,10859,강남초
최상민,No.23,1999년 08월 20일,외야수(좌투좌타),178cm/75kg,석교초-청주중-북일고,,3200만원,18 SK 육성선수,22SSG,SSG 랜더스,9638,석교초
최수호,No.62,2000년 07월 19일,투수(우투우타),183cm/78kg,봉천초-배명중-북일고-SK,8000만원,3000만원,19 SK 2차 3라운드 26순위,19SK,SSG 랜더스,9304,봉천초
최윤석,No.94,2006년 04월 25일,내야수(우투우타),187cm/93kg,진북초(전주시비전리틀)-전라중-전주고,6000만원,3000만원,25 SSG 6라운드 58순위,,SSG 랜더스,7198,진북초
최정,No.14,1987년 02월 28일,내야수(우투우타),180cm/90kg,대일초-평촌중-유신고-SK,30000만원,170000만원,05 SK 1차,05SK,SSG 랜더스,14194,대일초
최준우,No.7,1999년 03월 25일,내야수(우투좌타),176cm/78kg,방배초-대치중-장충고-SK-상무,7000만원,3200만원,18 SK 2차 4라운드 35순위,18SK,SSG 랜더스,9786,방배초
최지훈,No.54,1997년 07월 23일,외야수(우투좌타),178cm/82kg,광주수창초-무등중-광주제일고-동국대-SK,8000만원,30000만원,20 SK 2차 3라운드 30순위,20SK,SSG 랜더스,10396,광주수창초
최현석,No.40,2003년 10월 16일,투수(우투우타),185cm/90kg,서흥초-동산중-동산고-부산과학기술대,7000만원,3000만원,24 SSG 4라운드 40순위,24SSG,SSG 랜더스,8120,서흥초
하재훈,No.13,1990년 10월 29일,외야수(우투우타),182cm/90kg,양덕초-마산동중-용마고-SK,,9000만원,19 SK 2차 2라운드 16순위,09시카고컵스,SSG 랜더스,12855,양덕초
한두솔,No.34,1997년 01월 15일,투수(좌투좌타),177cm/86kg,광주수창초-진흥중-광주제일고-일본 오사카 리세이샤 전문대학-KT,,8000만원,18 KT 육성선수,18KT,SSG 랜더스,10585,광주수창초
한유섬,No.35,1989년 08월 09일,외야수(우투좌타),190cm/105kg,중앙초(해운대리틀)-대천중-경남고-경성대-SK-상무-SK,3000만원,90000만원,12 SK 9라운드 85순위,12SK,SSG 랜더스,13301,중앙초
한지헌,No.01,2004년 08월 14일,투수(우투우타),183cm/86kg,길동초-건대부중-청원고-경희대(얼리 드래프트),3000만원,3000만원,25 SSG 10라운드 98순위,,SSG 랜더스,7817,길동초
허진,No.67,2001년 06월 16일,내야수(우투좌타),175cm/78kg,광주수창초-충장중-광주동성고-고려대,,3200만원,24 SSG 육성선수,,SSG 랜더스,8972,광주수창초
현원회,No.8,2001년 07월 08일,내야수(우투우타),180cm/95kg,가동초-경상중-대구고-SK,7000만원,3000만원,20 SK 2차 4라운드 40순위,20SK,SSG 랜더스,8950,가동초
홍대인,No.97,2001년 11월 23일,내야수(우투좌타),174cm/76kg,서원초-세광중-세광고-사이버한국외대(얼리 드래프트),3000만원,3000만원,25 SSG 9라운드 88순위,,SSG 랜더스,8812,서원초
화이트,No.55,1994년 12월 28일,투수(우투우타),190cm/95kg,미국 Santa Clara(대),,1000000달러,25 SSG 자유선발,25SSG,SSG 랜더스,11334,-
강건,No.99,2004년 07월 12일,투수(우투우타),183cm/85kg,원일초(영통구리틀)-매향중-장안고,3000만원,3500만원,23 KT 11라운드 110순위,23KT,KT 위즈,7850,원일초
강민성,No.5,1999년 12월 08일,내야수(우투우타),180cm/85kg,대구옥산초-경상중-경북고,6000만원,3700만원,19 KT 2차 6라운드 51순위,23KT,KT 위즈,9528,대구옥산초
강백호,No.50,1999년 07월 29일,포수(우투좌타),184cm/98kg,부천북초-서울이수중-서울고,45000만원,70000만원,18 KT 2차 1라운드 1순위,18KT,KT 위즈,9660,부천북초
강현우,No.55,2001년 04월 13일,포수(우투우타),180cm/90kg,원종초(부천시리틀)-부천중-유신고,15000만원,5000만원,20 KT 2차 1라운드 2순위,20KT,KT 위즈,9036,원종초
고영표,No.1,1991년 09월 16일,투수(우언우타),187cm/88kg,광주대성초-광주동성중-화순고-동국대,13000만원,200000만원,14 KT 2차 1라운드 10순위,14KT,KT 위즈,12533,광주대성초
권동진,No.52,1998년 09월 12일,내야수(우투좌타),178cm/83kg,제주신광초-세광중-세광고-원광대-KT-상무,15000만원,4600만원,21 KT 2차 1라운드 5순위,21KT,KT 위즈,9980,제주신광초
권성준,No.115,2003년 03월 09일,투수(좌투좌타),185cm/88kg,대구옥산초-경복중-경북고,4000만원,3000만원,22 KT 2차 8라운드 78순위,,KT 위즈,8341,대구옥산초
김건형,No.0,1996년 07월 12일,외야수(우투좌타),182cm/83kg,먼우금초-Lesbois(중)-Timberline(고)-Boise State(대),4000만원,3300만원,21 KT 2차 8라운드 75순위,21KT,KT 위즈,10772,먼우금초
김동현,No.40,2006년 01월 21일,투수(우투우타),193cm/97kg,신천초(고양덕양구리틀)-잠신중-서울고,20000만원,3000만원,25 KT 1라운드 9순위,25KT,KT 위즈,7292,신천초
김민석,No.97,2005년 07월 22일,포수(우투우타),181cm/93kg,창영초-동인천중-제물포고,3000만원,3000만원,24 KT 10라운드 97순위,24KT,KT 위즈,7475,창영초
김민수,No.26,1992년 07월 24일,투수(우투우타),188cm/80kg,청원초-청원중-청원고-성균관대-KT-상무,11000만원,21000만원,15 KT 2차 특별 11순위,15KT,KT 위즈,12221,청원초
김민혁,No.53,1995년 11월 21일,외야수(우투좌타),181cm/71kg,광주서석초-배재중-배재고-KT-상무,6000만원,30000만원,14 KT 2차 6라운드 56순위,14KT,KT 위즈,11006,광주서석초
김병준,No.57,2003년 07월 03일,외야수(우투좌타),175cm/80kg,창촌초(안산리틀)-안산중앙중-유신고,3000만원,3600만원,22 KT 2차 9라운드 88순위,23KT,KT 위즈,8225,창촌초
김상수,No.7,1990년 03월 23일,내야수(우투우타),175cm/68kg,대구옥산초-경복중-경북고-삼성,28000만원,30000만원,09 삼성 1차,09삼성,KT 위즈,13075,대구옥산초
김재원,No.43,2006년 08월 21일,투수(우투우타),190cm/90kg,서울청구초-홍은중-장충고,10000만원,3000만원,25 KT 3라운드 29순위,25KT,KT 위즈,7080,서울청구초
김주완,No.98,1999년 10월 07일,투수(좌투좌타),180cm/77kg,송정동초-무등중-청담고-동강대-두산,3000만원,3000만원,21 두산 2차 9라운드 90순위,24KT,KT 위즈,9590,송정동초
김준태,No.44,1994년 07월 31일,포수(우투좌타),175cm/91kg,양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데,,7500만원,12 롯데 육성선수,13롯데,KT 위즈,11484,양정초
김철호,No.9,1998년 02월 06일,내야수(우투좌타),182cm/87kg,서화초-재능중-율곡고,8000만원,3000만원,18 NC 2차 3라운드 29순위,18NC,KT 위즈,10198,서화초
김태오,No.20,1997년 07월 29일,투수(좌투좌타),183cm/84kg,연현초-양천중-서울고-KT-상무,5000만원,3500만원,16 KT 2차 5라운드 41순위,18KT,KT 위즈,10390,연현초
로하스,No.3,1990년 05월 24일,외야수(우투양타),189cm/102kg,미국 Wabash Valley(대)-KT,100000달러,1500000달러,17 KT 자유선발,17KT,KT 위즈,13013,-
문상준,No.113,2001년 03월 14일,내야수(우투우타),183cm/80kg,가동초-휘문중-휘문고,4000만원,3100만원,20 KT 2차 8라운드 72순위,22KT,KT 위즈,9066,가동초
문상철,No.24,1991년 04월 06일,내야수(우투우타),184cm/85kg,중대초-잠신중-배명고-고려대-KT-상무,13000만원,17000만원,14 KT 2차 특별 11순위,14KT,KT 위즈,12696,중대초
문용익,No.18,1995년 02월 04일,투수(우투우타),178cm/93kg,덕양초-양천중-청원고-세계사이버대-삼성,5000만원,5800만원,17 삼성 2차 6라운드 59순위,19삼성,KT 위즈,11296,덕양초
박건우,No.46,2006년 11월 28일,투수(우투우타),182cm/95kg,서울행당초(성동구유소년야구단)-충암중-충암고,12000만원,3000만원,25 KT 2라운드 19순위,25KT,KT 위즈,6981,서울행당초
박민석,No.104,2006년 07월 27일,외야수(우투우타),178cm/83kg,남정초-건대부중-덕수고,7000만원,3000만원,25 KT 5라운드 49순위,25KT,KT 위즈,7105,남정초
박민석,No.2,2000년 04월 13일,내야수(우투우타),180cm/77kg,성동초-덕수중-장충고,7000만원,3400만원,19 KT 2차 5라운드 41순위,19KT,KT 위즈,9401,성동초
박세진,No.33,1997년 06월 27일,투수(좌투좌타),178cm/93kg,본리초-경운중-경북고,23000만원,3700만원,16 KT 1차,16KT,KT 위즈,10422,본리초
박영현,No.60,2003년 10월 11일,투수(우투우타),183cm/91kg,부천북초-부천중-유신고,30000만원,24000만원,22 KT 1차,22KT,KT 위즈,8125,부천북초
박준혁,No.102,2006년 03월 10일,투수(우투우타),178cm/84kg,서울대왕초(강남구리틀)-휘문중-휘문고,8000만원,3000만원,25 KT 4라운드 39순위,,KT 위즈,7244,서울대왕초
박태완,No.58,2005년 09월 04일,내야수(우투우타),173cm/77kg,중동초(부천시리틀)-부천중-유신고,5000만원,3000만원,24 KT 7라운드 67순위,,KT 위즈,7431,중동초
배정대,No.27,1995년 06월 12일,외야수(우투우타),185cm/80kg,도신초-성남중-성남고-(디지털문예대)-LG-KT-경찰,15000만원,34000만원,14 LG 2차 1라운드 3순위,14LG,KT 위즈,11168,도신초
성재헌,No.15,1997년 12월 22일,투수(좌투좌타),175cm/82kg,도신초-성남중-성남고-연세대-LG,4000만원,3600만원,20 LG 2차 8라운드 73순위,20LG,KT 위즈,10244,도신초
소형준,No.30,2001년 09월 16일,투수(우투우타),189cm/92kg,호암초(의정부리틀)-구리인창중-유신고,36000만원,22000만원,20 KT 1차,20KT,KT 위즈,8880,호암초
손동현,No.41,2001년 01월 23일,투수(우투우타),183cm/88kg,염창초(강서구리틀)-덕수중-성남고-KT-상무,9000만원,10000만원,19 KT 2차 3라운드 21순위,19KT,KT 위즈,9116,염창초
송민섭,No.28,1991년 08월 02일,외야수(우투우타),177cm/80kg,청파초(안산리틀)-선린중-선린인터넷고-단국대-KT-상무,,6000만원,14 KT 육성선수,15KT,KT 위즈,12578,청파초
신범준,No.62,2002년 06월 01일,외야수(우투좌타),189cm/78kg,원일초(수원영통구리틀)-매향중-장안고,17000만원,3000만원,21 KT 1차,21KT,KT 위즈,8622,원일초
신호준,No.68,2004년 10월 21일,외야수(우투우타),186cm/90kg,백마초-포항중-경주고,7000만원,3000만원,24 KT 5라운드 47순위,,KT 위즈,7749,백마초
안치영,No.8,1998년 05월 29일,외야수(우투좌타),176cm/72kg,중동초(원미구리틀)-천안북중-북일고,6000만원,4500만원,17 KT 2차 6라운드 51순위,17KT,KT 위즈,10086,중동초
안현민,No.23,2003년 08월 22일,외야수(우투우타),183cm/90kg,임호초(김해리틀)-개성중-마산고,7000만원,3300만원,22 KT 2차 4라운드 38순위,22KT,KT 위즈,8175,임호초
오서진,No.105,2006년 02월 22일,내야수(우투우타),188cm/80kg,수원신곡초-수원북중-유신고,6000만원,3000만원,25 KT 6라운드 59순위,,KT 위즈,7260,수원신곡초
오원석,No.47,2001년 04월 23일,투수(좌투좌타),182cm/80kg,수진초-매송중-야탑고-SK-SSG,20000만원,14000만원,20 SK 1차,20SK,KT 위즈,9026,수진초
오윤석,No.4,1992년 02월 24일,내야수(우투우타),180cm/87kg,화중초-자양중-경기고-연세대-롯데-상무-롯데,,16000만원,14 롯데 육성선수,15롯데,KT 위즈,12372,화중초
오재일,No.36,1986년 10월 29일,내야수(좌투좌타),187cm/95kg,인창초(구리리틀)-구리인창중-야탑고-현대-상무-히어로즈-두산-삼성,8000만원,15000만원,05 현대 2차 3라운드 24순위,05현대,KT 위즈,14316,인창초
우규민,No.12,1985년 01월 21일,투수(우언우타),184cm/75kg,성동초-휘문중-휘문고-LG-경찰-LG-삼성,12000만원,20000만원,03 LG 2차 3라운드 19순위,03LG,KT 위즈,14962,성동초
우종휘,No.94,2003년 12월 15일,투수(좌투좌타),187cm/90kg,길동초-휘문중-휘문고,6000만원,3000만원,22 KT 2차 5라운드 48순위,,KT 위즈,8060,길동초
원상현,No.63,2004년 10월 16일,투수(우투우타),183cm/83kg,가산초(부산진구리틀)-개성중-부산고,23000만원,4000만원,24 KT 1라운드 7순위,24KT,KT 위즈,7754,가산초
유준규,No.67,2002년 08월 16일,외야수(우투좌타),176cm/69kg,군산신풍초-군산중-군산상고,8000만원,3000만원,21 KT 2차 3라운드 25순위,21KT,KT 위즈,8546,군산신풍초
유호식,No.101,1999년 05월 11일,투수(우투우타),190cm/104kg,서울청구초-덕수중-성남고-SK-SSG,8000만원,3000만원,18 SK 2차 3라운드 25순위,,KT 위즈,9739,서울청구초
육청명,No.64,2005년 07월 18일,투수(우투우타),186cm/90kg,강남초-선린중-강릉고,13000만원,3500만원,24 KT 2라운드 17순위,24KT,KT 위즈,7479,강남초
윤상인,No.107,2004년 04월 01일,투수(우투우타),183cm/80kg,서울도곡초-언북중-신일고-동원과학기술대,4000만원,3000만원,25 KT 8라운드 79순위,,KT 위즈,7952,서울도곡초
윤준혁,No.35,2001년 07월 26일,내야수(우투우타),186cm/86kg,역촌초(은평구리틀)-충암중-충암고,8000만원,3500만원,20 KT 2차 4라운드 32순위,20KT,KT 위즈,8932,역촌초
이상동,No.37,1995년 11월 24일,투수(우투우타),181cm/88kg,대구옥산초-경복중-경북고-영남대,8000만원,5900만원,19 KT 2차 4라운드 31순위,19KT,KT 위즈,11003,대구옥산초
이상우,No.48,2003년 10월 14일,투수(우투우타),190cm/95kg,연현초-수원북중-유신고,16000만원,3100만원,22 KT 2차 1라운드 8순위,22KT,KT 위즈,8122,연현초
이선우,No.61,2000년 09월 19일,투수(우언우타),186cm/90kg,수진초-매송중-유신고,5000만원,3800만원,19 KT 2차 7라운드 61순위,19KT,KT 위즈,9242,수진초
이승언,No.90,2005년 03월 04일,투수(우투우타),186cm/95kg,한일초(장안구리틀)-수일중-장안고,3000만원,3000만원,24 KT 11라운드 107순위,,KT 위즈,7615,한일초
이승준,No.109,2006년 02월 01일,내야수(우투좌타),170cm/65kg,진말초(와이번스리틀)-소래중-장안고,3000만원,3000만원,25 KT 11라운드 109순위,,KT 위즈,7281,진말초
이승현,No.96,2005년 01월 26일,포수(우투좌타),184cm/90kg,비전초(평택리틀)-개군중-북일고,4000만원,3000만원,24 KT 9라운드 87순위,,KT 위즈,7652,비전초
이용현,No.106,2006년 01월 06일,내야수(우투좌타),188cm/85kg,평택부용초(안성시리틀)-평택청담중-강릉고,5000만원,3000만원,25 KT 7라운드 69순위,,KT 위즈,7307,평택부용초
이정현,No.21,1997년 12월 05일,투수(우투우타),188cm/93kg,무학초-마산동중-용마고,16000만원,3500만원,17 KT 2차 1라운드 1순위,17KT,KT 위즈,10261,무학초
이정환,No.103,2006년 04월 12일,포수(우투우타),182cm/90kg,수원신곡초-매향중-안산공고,3000만원,3000만원,25 KT 9라운드 89순위,,KT 위즈,7211,수원신곡초
이종혁,No.66,1997년 05월 29일,투수(우투우타),190cm/86kg,대구옥산초-경복중-대구고,11000만원,3000만원,17 KT 2차 2라운드 11순위,17KT,KT 위즈,10451,대구옥산초
이준명,No.95,2002년 12월 18일,투수(우투우타),193cm/100kg,정목초(강서구리틀)-덕수중-성남고-동의대(얼리 드래프트),3000만원,3000만원,23 KT 10라운드 100순위,,KT 위즈,8422,정목초
이채호,No.17,1998년 11월 23일,투수(우언우타),185cm/85kg,동광초(김해시리틀)-원동중-용마고-SK-SSG,5000만원,5000만원,18 SK 2차 6라운드 55순위,18SK,KT 위즈,9908,동광초
이태규,No.45,2000년 02월 21일,투수(우투좌타),188cm/72kg,희망대초-매향중-장안고-KIA,8000만원,3000만원,19 KIA 2차 3라운드 30순위,23KIA,KT 위즈,9453,희망대초
이현민,No.49,2001년 10월 13일,투수(우투우타),185cm/86kg,방화초(김포중앙리틀)-원당중-구리인창고,,3000만원,24 KT 육성선수,24KT,KT 위즈,8853,방화초
이호연,No.34,1995년 06월 03일,내야수(우투좌타),177cm/87kg,광주수창초-진흥중-광주제일고-성균관대-롯데,6000만원,7000만원,18 롯데 2차 6라운드 53순위,18롯데,KT 위즈,11177,광주수창초
장민호,No.110,2002년 07월 05일,투수(우투좌타),180cm/85kg,둔촌초-배재중-배재고-동국대,,3000만원,25 KT 육성선수,,KT 위즈,8588,둔촌초
장성우,No.22,1990년 01월 17일,포수(우투우타),187cm/100kg,감천초-경남중-경남고-롯데-경찰-롯데,20000만원,50000만원,08 롯데 1차,08롯데,KT 위즈,13140,감천초
장준원,No.56,1995년 11월 21일,내야수(우투우타),183cm/77kg,경운초(김해시리틀)-개성중-경남고-LG,10000만원,5100만원,14 LG 2차 2라운드 23순위,14LG,KT 위즈,11006,경운초
장진혁,No.51,1993년 09월 30일,외야수(우투좌타),184cm/90kg,광주화정초-충장중-광주제일고-단국대-한화,7000만원,11500만원,16 한화 2차 4라운드 39순위,18한화,KT 위즈,11788,광주화정초
전용주,No.29,2000년 02월 12일,투수(좌투좌타),188cm/87kg,양진초(안성시리틀)-성일중-안산공고,20000만원,3600만원,19 KT 1차,19KT,KT 위즈,9462,양진초
정영웅,No.108,1999년 12월 25일,외야수(좌투좌타),171cm/75kg,광주화정초-무등중-광주제일고-원광대,3000만원,3000만원,25 KT 10라운드 99순위,,KT 위즈,9511,광주화정초
정운교,No.111,2002년 05월 27일,투수(우투우타),181cm/90kg,강릉중앙초-경포중-설악고-건국대,,3000만원,25 KT 육성선수,,KT 위즈,8627,강릉중앙초
조대현,No.42,1999년 08월 06일,포수(우투우타),183cm/81kg,길동초-매송중-유신고,4000만원,4300만원,18 KT 2차 10라운드 91순위,21KT,KT 위즈,9652,길동초
조이현,No.54,1995년 06월 27일,투수(우투좌타),185cm/95kg,송정동초-배재중-제주고-한화-SK-상무-SK-SSG,7000만원,5700만원,14 한화 2차 5라운드 47순위,14한화,KT 위즈,11153,송정동초
주권,No.38,1995년 05월 31일,투수(우투우타),181cm/82kg,청주우암초-청주중-청주고,30000만원,20000만원,15 KT 우선지명,15KT,KT 위즈,11180,청주우암초
지명성,No.39,2002년 02월 15일,투수(우투우타),173cm/65kg,의정부청룡초(의정부리틀)-배명중-신일고,7000만원,3200만원,21 KT 2차 4라운드 35순위,21KT,KT 위즈,8728,의정부청룡초
천성호,No.14,1997년 10월 30일,내야수(우투좌타),183cm/85kg,광주화정초-충장중-진흥고-단국대-KT-상무,10000만원,7100만원,20 KT 2차 2라운드 12순위,20KT,KT 위즈,10297,광주화정초
최동환,No.16,1989년 09월 19일,투수(우투우타),184cm/83kg,인헌초-선린중-경동고-LG,12000만원,11000만원,09 LG 2차 2라운드 13순위,09LG,KT 위즈,13260,인헌초
최동희,No.100,2003년 07월 26일,외야수(우투우타),184cm/80kg,연지초(노원구리틀)-상명중-장충고,5000만원,3000만원,22 KT 2차 6라운드 58순위,,KT 위즈,8202,연지초
최성민,No.31,2002년 07월 05일,외야수(좌투좌타),179cm/84kg,송정동초-무등중-광주동성고,,3200만원,21 KT 2차 6라운드 55순위,23KT,KT 위즈,8588,송정동초
최용준,No.92,2001년 12월 19일,투수(우투우타),192cm/105kg,양산신양초(양산구리틀)-경남중-부산공고-KIA,3000만원,3000만원,20 KIA 2차 10라운드 96순위,21KIA,KT 위즈,8786,양산신양초
쿠에바스,No.32,1990년 10월 14일,투수(우투양타),188cm/98kg,베네수엘라 Carabobo(대),250000달러,1000000달러,19 KT 자유선발,19KT,KT 위즈,12870,-
한지웅,No.93,2003년 07월 07일,투수(좌투좌타),189cm/82kg,대정초(인천시리틀)-상인천중-인천고,10000만원,3000만원,22 KT 2차 2라운드 18순위,22KT,KT 위즈,8221,대정초
한차현,No.59,1998년 11월 30일,투수(우투우타),180cm/80kg,사능초(남양주리틀)-청원중-포항제철고-성균관대,10000만원,3500만원,21 KT 2차 2라운드 15순위,21KT,KT 위즈,9901,사능초
허경민,No.13,1990년 08월 26일,내야수(우투우타),176cm/69kg,송정동초-충장중-광주제일고-두산-경찰-두산,13000만원,30000만원,09 두산 2차 1라운드 7순위,09두산,KT 위즈,12919,송정동초
헤이수스,No.65,1996년 12월 10일,투수(좌투좌타),192cm/104kg,베네수엘라 Juanita Hernandez(고)-키움,,800000달러,24 키움 자유선발,24키움,KT 위즈,10621,-
황재균,No.10,1987년 07월 28일,내야수(우투우타),183cm/96kg,사당초-서울이수중-경기고-현대-히어로즈-롯데-샌프란시스코,6000만원,50000만원,06 현대 2차 3라운드 24순위,06현대,KT 위즈,14044,사당초
강민성,No.127,2006년 02월 22일,내야수(우투우타),183cm/85kg,연현초-잠신중-안산공고,3000만원,3000만원,25 삼성 10라운드 93순위,,삼성 라이온즈,7260,연현초
강민호,No.47,1985년 08월 18일,포수(우투우타),185cm/100kg,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,40000만원,04 롯데 2차 3라운드 17순위,04롯데,삼성 라이온즈,14753,제주신광초
강한울,No.6,1991년 09월 12일,내야수(우투좌타),181cm/66kg,사당초-중앙중-안산공고-원광대-KIA-삼성-상무,14000만원,7000만원,14 KIA 2차 1라운드 5순위,14KIA,삼성 라이온즈,12537,사당초
공민규,No.9,1999년 09월 27일,내야수(우투좌타),183cm/85kg,서화초-동산중-인천고-삼성-상무,4000만원,4300만원,18 삼성 2차 8라운드 72순위,19삼성,삼성 라이온즈,9600,서화초
구자욱,No.5,1993년 02월 12일,외야수(우투좌타),189cm/75kg,본리초-경복중-대구고-삼성-상무,13000만원,200000만원,12 삼성 2라운드 12순위,12삼성,삼성 라이온즈,12018,본리초
권현우,No.41,2006년 03월 28일,투수(우투우타),190cm/93kg,광주서림초-충장중-광주제일고,8000만원,3000만원,25 삼성 5라운드 43순위,25삼성,삼성 라이온즈,7226,광주서림초
김대우,No.17,1988년 11월 21일,투수(우언우타),183cm/85kg,역삼초-대치중-서울고-홍익대-히어로즈-상무-히어로즈,2000만원,10000만원,11 넥센 9라운드 67순위,11넥센,삼성 라이온즈,13562,역삼초
김대호,No.44,2001년 10월 15일,투수(우투우타),185cm/100kg,제주신광초-이평중-군산상고-고려대,,3300만원,24 삼성 육성선수,24삼성,삼성 라이온즈,8851,제주신광초
김도환,No.24,2000년 04월 14일,포수(우투우타),178cm/90kg,언북초(의정부리틀)-영동중-신일고-삼성-상무,11000만원,4700만원,19 삼성 2차 2라운드 12순위,19삼성,삼성 라이온즈,9400,언북초
김동현,No.123,2001년 05월 25일,투수(우투우타),186cm/95kg,용현초(인천남구리틀)-동인천중-인천고-강릉영동대,,3200만원,24 삼성 육성선수,,삼성 라이온즈,8994,용현초
김무신,No.48,1999년 12월 08일,투수(우투우타),185cm/95kg,온양온천초-온양중-북일고-(대구대)-삼성-상무,5000만원,7000만원,18 삼성 2차 6라운드 52순위,19삼성,삼성 라이온즈,9528,온양온천초
김민수,No.12,1991년 03월 02일,포수(우투우타),177cm/80kg,대구옥산초-경복중-대구상원고-영남대-한화-상무,11000만원,4600만원,14 한화 2차 2라운드 24순위,14한화,삼성 라이온즈,12731,대구옥산초
김백산,No.120,2003년 10월 13일,투수(우투우타),183cm/86kg,남산초-원주중-강릉고-부산과학기술대,,3000만원,25 삼성 육성선수,,삼성 라이온즈,8123,남산초
김상준,No.125,2002년 12월 30일,내야수(우투좌타),176cm/75kg,양덕초-마산동중-물금고-동원과학기술대,,3000만원,25 삼성 육성선수,,삼성 라이온즈,8410,양덕초
김성경,No.122,1999년 10월 01일,투수(우투우타),181cm/84kg,학강초-망운중-광주동성고-송원대(얼리 드래프트),7000만원,3200만원,24 삼성 5라운드 44순위,,삼성 라이온즈,9596,학강초
김성윤,No.39,1999년 02월 02일,외야수(좌투좌타),163cm/62kg,창신초(부산진구리틀)-원동중-포항제철고,7000만원,7000만원,17 삼성 2차 4라운드 39순위,17삼성,삼성 라이온즈,9837,창신초
김영웅,No.30,2003년 08월 24일,내야수(우투좌타),183cm/81kg,공주중동초-야로중-물금고,17000만원,15000만원,22 삼성 2차 1라운드 3순위,22삼성,삼성 라이온즈,8173,공주중동초
김유현,No.119,2004년 02월 07일,투수(우투우타),184cm/93kg,광주서석초-광주동성중-광주동성고-동강대,,3000만원,25 삼성 육성선수,,삼성 라이온즈,8006,광주서석초
김재성,No.2,1996년 10월 30일,포수(우투좌타),185cm/85kg,신광초-성남중-덕수고-LG-경찰-LG,20000만원,5500만원,15 LG 1차,15LG,삼성 라이온즈,10662,신광초
김재윤,No.62,1990년 09월 16일,투수(우투우타),185cm/91kg,서울도곡초-휘문중-휘문고-KT,,80000만원,15 KT 2차 특별 13순위,09애리조나,삼성 라이온즈,12898,서울도곡초
김재혁,No.8,1999년 12월 26일,외야수(우투우타),182cm/85kg,제주남초-제주제일중-제주고-동아대-삼성-상무,11000만원,3500만원,22 삼성 2차 2라운드 13순위,22삼성,삼성 라이온즈,9510,제주남초
김재형,No.124,2005년 11월 22일,내야수(우투우타),186cm/102kg,봉천초-선린중-덕수고,3000만원,3000만원,24 삼성 10라운드 94순위,,삼성 라이온즈,7352,봉천초
김지찬,No.58,2001년 03월 08일,외야수(우투좌타),163cm/64kg,백사초(이천시리틀)-모가중-라온고,11000만원,28000만원,20 삼성 2차 2라운드 15순위,20삼성,삼성 라이온즈,9072,백사초
김태근,No.108,1996년 08월 10일,외야수(우투우타),175cm/74kg,광진초(광진구리틀)-건대부중-배명고-건국대-두산-상무,6000만원,4500만원,19 두산 2차 5라운드 49순위,19두산,삼성 라이온즈,10743,광진초
김태훈,No.25,1996년 03월 31일,외야수(우투좌타),177cm/78kg,진흥초(안산리틀)-평촌중-유신고-KT,6000만원,4500만원,15 KT 2차 5라운드 53순위,15KT,삼성 라이온즈,10875,진흥초
김태훈,No.27,1992년 03월 02일,투수(우투우타),187cm/101kg,남부민초-대신중-부경고-히어로즈-경찰-히어로즈-키움,2000만원,24000만원,12 넥센 9라운드 79순위,12넥센,삼성 라이온즈,12365,남부민초
